AEF.AX,128.02,"10/11/2017"
AGLHA.AX,104,"10/11/2017"
ANZPC.AX,101.55,"10/11/2017"
ANZPD.AX,103.1,"10/11/2017"
AYF.AX,6.15,"08/11/2017"
CAB.AX,1.72,"10/11/2017"
CTN.AX,0.93,"10/11/2017"
CWNHA.AX,102.9,"10/11/2017"
CWNHB.AX,100.03,"10/11/2017"
FET.AX,2.86,"10/11/2017"
IGB.AX,103.2,"10/11/2017"
IHD.AX,14.23,"10/11/2017"
IPE.AX,0.1,"10/11/2017"
ISG.AX,33.71,"09/11/2017"
MPL.AX,3.16,"10/11/2017"
MVR.AX,23.79,"10/11/2017"
MVS.AX,19.76,"10/11/2017"
MYO.AX,3.77,"10/11/2017"
NABPB.AX,101.76,"10/11/2017"
OZG.AX,0.18,"09/11/2017"
RFG.AX,4.5,"10/11/2017"
STW.AX,56.44,"10/11/2017"
SUNPD.AX,102.45,"10/11/2017"
SUNPE.AX,102.25,"10/11/2017"
SYI.AX,29.88,"10/11/2017"
VAF.AX,48.89,"10/11/2017"
VAP.AX,82.81,"10/11/2017"
VAS.AX,76.95,"10/11/2017"
VEU.AX,70.11,"10/11/2017"
VGB.AX,49.26,"10/11/2017"
VHY.AX,62.35,"10/11/2017"
VSO.AX,54.62,"10/11/2017"
VTS.AX,172.84,"10/11/2017"
WBCPD.AX,102.56,"10/11/2017"
WBCPE.AX,100.45,"10/11/2017"
YMAX.AX,9.06,"10/11/2017"
